NR_131012-NEAT1,NM_006886.3-ATP5E
NR_028272-NEAT1,NM_004776.3-B4GALT5
NR_131012-NEAT1,NM_004776.3-B4GALT5
NR_002819-MALAT1,NM_024649.4-BBS1
NR_144567-MALAT1,NM_024649.4-BBS1
NR_144568-MALAT1,NM_024649.4-BBS1
NR_002819-MALAT1,NM_005872.2-BCAS2
NR_144567-MALAT1,NM_005872.2-BCAS2
NR_144568-MALAT1,NM_005872.2-BCAS2
NR_028272-NEAT1,NM_199173.5-BGLAP
NR_131012-NEAT1,NM_199173.5-BGLAP
NR_028272-NEAT1,NM_080606.3-BHLHE23
NR_131012-NEAT1,NM_080606.3-BHLHE23
NR_002819-MALAT1,NM_000713.2-BLVRB
NR_144567-MALAT1,NM_000713.2-BLVRB
NR_144568-MALAT1,NM_000713.2-BLVRB
NR_028272-NEAT1,NM_000713.2-BLVRB
NR_131012-NEAT1,NM_000713.2-BLVRB
NR_003716-HOTAIR,NM_005180.8-BMI1
NR_047517-HOTAIR,NM_005180.8-BMI1
NR_047518-HOTAIR,NM_005180.8-BMI1
NR_028272-NEAT1,NM_015201.4-BOP1
NR_131012-NEAT1,NM_015201.4-BOP1
NR_002819-MALAT1,NM_001725.2-BPI
NR_144567-MALAT1,NM_001725.2-BPI
NR_144568-MALAT1,NM_001725.2-BPI
NR_002819-MALAT1,NM_001211.5-BUB1B
NR_144567-MALAT1,NM_001211.5-BUB1B
NR_144568-MALAT1,NM_001211.5-BUB1B
NR_002819-MALAT1,NM_031215.2-CABLES2
NR_144567-MALAT1,NM_031215.2-CABLES2
NR_144568-MALAT1,NM_031215.2-CABLES2
NR_028272-NEAT1,NM_031215.2-CABLES2
NR_131012-NEAT1,NM_031215.2-CABLES2
NR_028272-NEAT1,NM_000727.3-CACNG1
NR_131012-NEAT1,NM_000727.3-CACNG1
NR_002819-MALAT1,NM_014405.3-CACNG4
NR_144567-MALAT1,NM_014405.3-CACNG4
NR_144568-MALAT1,NM_014405.3-CACNG4
NR_028272-NEAT1,NM_014405.3-CACNG4
NR_131012-NEAT1,NM_014405.3-CACNG4
NR_002819-MALAT1,NM_031895.5-CACNG8
NR_144567-MALAT1,NM_031895.5-CACNG8
NR_144568-MALAT1,NM_031895.5-CACNG8
NR_028272-NEAT1,NM_005184.2-CALM3
NR_131012-NEAT1,NM_005184.2-CALM3
NR_002819-MALAT1,NM_004343.3-CALR
NR_144567-MALAT1,NM_004343.3-CALR
NR_144568-MALAT1,NM_004343.3-CALR
NR_002766-MEG3,NM_004345.4-CAMP
NR_003530-MEG3,NM_004345.4-CAMP
NR_003531-MEG3,NM_004345.4-CAMP
NR_033358-MEG3,NM_004345.4-CAMP
NR_033359-MEG3,NM_004345.4-CAMP
NR_033360-MEG3,NM_004345.4-CAMP
NR_046464-MEG3,NM_004345.4-CAMP
NR_046465-MEG3,NM_004345.4-CAMP
NR_046466-MEG3,NM_004345.4-CAMP
NR_046467-MEG3,NM_004345.4-CAMP
NR_046469-MEG3,NM_004345.4-CAMP
NR_046470-MEG3,NM_004345.4-CAMP
NR_046471-MEG3,NM_004345.4-CAMP
NR_046472-MEG3,NM_004345.4-CAMP
NR_046473-MEG3,NM_004345.4-CAMP
NR_028272-NEAT1,NM_020649.2-CBX8
NR_131012-NEAT1,NM_020649.2-CBX8
NR_028272-NEAT1,NM_006848.2-CCDC85B
NR_131012-NEAT1,NM_006848.2-CCDC85B
NR_028272-NEAT1,NM_152723.2-CCDC89
NR_131012-NEAT1,NM_152723.2-CCDC89
NR_004053-SOX2-OT,NM_031966.3-CCNB1
NR_075089-SOX2-OT,NM_031966.3-CCNB1
NR_075090-SOX2-OT,NM_031966.3-CCNB1
NR_075091-SOX2-OT,NM_031966.3-CCNB1
NR_075092-SOX2-OT,NM_031966.3-CCNB1
NR_075093-SOX2-OT,NM_031966.3-CCNB1
NR_028272-NEAT1,NM_053056.2-CCND1
NR_131012-NEAT1,NM_053056.2-CCND1
NR_028272-NEAT1,NM_001255.2-CDC20
NR_131012-NEAT1,NM_001255.2-CDC20
NR_028272-NEAT1,NM_145057.3-CDC42EP5
NR_131012-NEAT1,NM_145057.3-CDC42EP5
NR_028272-NEAT1,NM_004933.2-CDH15
NR_131012-NEAT1,NM_004933.2-CDH15
NR_028272-NEAT1,NM_001258.2-CDK3
NR_131012-NEAT1,NM_001258.2-CDK3
NR_028272-NEAT1,NM_000075.3-CDK4
NR_131012-NEAT1,NM_000075.3-CDK4
NR_002819-MALAT1,NM_030928.3-CDT1
NR_144567-MALAT1,NM_030928.3-CDT1
NR_144568-MALAT1,NM_030928.3-CDT1
NR_028272-NEAT1,NM_030928.3-CDT1
NR_131012-NEAT1,NM_030928.3-CDT1
NR_028272-NEAT1,NM_001048212.3-CEMP1
NR_131012-NEAT1,NM_001048212.3-CEMP1
NR_002819-MALAT1,NM_001810.5-CENPB
NR_144567-MALAT1,NM_001810.5-CENPB
NR_144568-MALAT1,NM_001810.5-CENPB
NR_028272-NEAT1,NM_001810.5-CENPB
NR_131012-NEAT1,NM_001810.5-CENPB
NR_002819-MALAT1,NM_145039.3-CENPBD1
NR_144567-MALAT1,NM_145039.3-CENPBD1
NR_144568-MALAT1,NM_145039.3-CENPBD1
NR_002819-MALAT1,NM_001710.5-CFB
NR_144567-MALAT1,NM_001710.5-CFB
NR_144568-MALAT1,NM_001710.5-CFB
NR_002819-MALAT1,NM_005507.2-CFL1
NR_144567-MALAT1,NM_005507.2-CFL1
NR_144568-MALAT1,NM_005507.2-CFL1
NR_028272-NEAT1,NM_005507.2-CFL1
NR_131012-NEAT1,NM_005507.2-CFL1
NR_028272-NEAT1,NM_006387.5-CHERP
NR_131012-NEAT1,NM_006387.5-CHERP
NR_002819-MALAT1,NM_014169.3-CHMP4A
NR_144567-MALAT1,NM_014169.3-CHMP4A
NR_144568-MALAT1,NM_014169.3-CHMP4A
NR_028272-NEAT1,NM_014169.3-CHMP4A
NR_131012-NEAT1,NM_014169.3-CHMP4A
NR_028272-NEAT1,NM_000741.3-CHRM4
NR_131012-NEAT1,NM_000741.3-CHRM4
NR_028272-NEAT1,NM_004804.2-CIAO1
NR_131012-NEAT1,NM_004804.2-CIAO1
NR_028272-NEAT1,NM_153221.2-CILP2
NR_131012-NEAT1,NM_153221.2-CILP2
NR_028272-NEAT1,NM_001136498.1-CISD3
NR_131012-NEAT1,NM_001136498.1-CISD3
NR_028272-NEAT1,NM_001306.3-CLDN3
NR_131012-NEAT1,NM_001306.3-CLDN3
NR_028272-NEAT1,NM_001305.4-CLDN4
NR_131012-NEAT1,NM_001305.4-CLDN4
NR_028272-NEAT1,NM_021195.4-CLDN6
NR_131012-NEAT1,NM_021195.4-CLDN6
NR_028272-NEAT1,NM_017882.2-CLN6
NR_131012-NEAT1,NM_017882.2-CLN6
NR_028272-NEAT1,NM_152755.1-CNPY4
NR_131012-NEAT1,NM_152755.1-CNPY4
NR_028272-NEAT1,NM_032382.4-COG8
NR_131012-NEAT1,NM_032382.4-COG8
NR_028272-NEAT1,NM_004645.2-COIL
NR_131012-NEAT1,NM_004645.2-COIL
NR_002819-MALAT1,NM_001846.2-COL4A2
NR_144567-MALAT1,NM_001846.2-COL4A2
NR_144568-MALAT1,NM_001846.2-COL4A2
NR_002819-MALAT1,NM_001848.2-COL6A1
NR_144567-MALAT1,NM_001848.2-COL6A1
NR_144568-MALAT1,NM_001848.2-COL6A1
NR_028272-NEAT1,NM_001848.2-COL6A1
NR_131012-NEAT1,NM_001848.2-COL6A1
NR_002819-MALAT1,NM_006833.4-COPS6
NR_144567-MALAT1,NM_006833.4-COPS6
NR_144568-MALAT1,NM_006833.4-COPS6
NR_028272-NEAT1,NM_006833.4-COPS6
NR_131012-NEAT1,NM_006833.4-COPS6
NR_002819-MALAT1,NM_001031617.2-COX19
NR_144567-MALAT1,NM_001031617.2-COX19
NR_144568-MALAT1,NM_001031617.2-COX19
NR_002819-MALAT1,NM_001862.2-COX5B
NR_144567-MALAT1,NM_001862.2-COX5B
NR_144568-MALAT1,NM_001862.2-COX5B
NR_002819-MALAT1,NM_144613.4-COX6B2
NR_144567-MALAT1,NM_144613.4-COX6B2
NR_144568-MALAT1,NM_144613.4-COX6B2
NR_028272-NEAT1,NM_144613.4-COX6B2
NR_131012-NEAT1,NM_144613.4-COX6B2
NR_028272-NEAT1,NM_001864.3-COX7A1
NR_131012-NEAT1,NM_001864.3-COX7A1
NR_028272-NEAT1,NM_001030005.2-CPLX3
NR_131012-NEAT1,NM_001030005.2-CPLX3
NR_028272-NEAT1,NM_006368.4-CREB3
NR_131012-NEAT1,NM_006368.4-CREB3
NR_028272-NEAT1,NM_001311.4-CRIP1
NR_131012-NEAT1,NM_001311.4-CRIP1
NR_028272-NEAT1,NM_001897.4-CSPG4
NR_131012-NEAT1,NM_001897.4-CSPG4
NR_028272-NEAT1,NM_000100.3-CSTB
NR_131012-NEAT1,NM_000100.3-CSTB
NR_038907-ALKBH3-AS1,NM_015235.2-CSTF2T
NR_037864-AP4B1-AS1,NM_015235.2-CSTF2T
NR_125965-AP4B1-AS1,NM_015235.2-CSTF2T
NR_110586-BAZ2B,NM_015235.2-CSTF2T
NR_046666-CACNA2D3-AS1,NM_015235.2-CSTF2T
NR_103848-CASC9,NM_015235.2-CSTF2T
NR_103849-CASC9,NM_015235.2-CSTF2T
NR_103850-CASC9,NM_015235.2-CSTF2T
NR_040030-CFLAR-AS1,NM_015235.2-CSTF2T
NR_049718-COX10-AS1,NM_015235.2-CSTF2T
NR_034105-CRNDE,NM_015235.2-CSTF2T
NR_034106-CRNDE,NM_015235.2-CSTF2T
NR_110453-CRNDE,NM_015235.2-CSTF2T
NR_110454-CRNDE,NM_015235.2-CSTF2T
NR_024031-DANCR,NM_015235.2-CSTF2T
NR_145129-DANCR,NM_015235.2-CSTF2T
NR_145130-DANCR,NM_015235.2-CSTF2T
NR_023921-DHRS4-AS1,NM_015235.2-CSTF2T
NR_023922-DHRS4-AS1,NM_015235.2-CSTF2T
NR_023923-DHRS4-AS1,NM_015235.2-CSTF2T
NR_023924-DHRS4-AS1,NM_015235.2-CSTF2T
NR_152566-DLEU2,NM_015235.2-CSTF2T
NR_152567-DLEU2,NM_015235.2-CSTF2T
NR_152568-DLEU2,NM_015235.2-CSTF2T
NR_152569-DLEU2,NM_015235.2-CSTF2T
NR_152570-DLEU2,NM_015235.2-CSTF2T
NR_152571-DLEU2,NM_015235.2-CSTF2T
NR_152572-DLEU2,NM_015235.2-CSTF2T
NR_026719-DSCR9,NM_015235.2-CSTF2T
NR_038444-ENTPD1-AS1,NM_015235.2-CSTF2T
NR_134320-ENTPD1-AS1,NM_015235.2-CSTF2T
NR_134321-ENTPD1-AS1,NM_015235.2-CSTF2T
NR_134322-ENTPD1-AS1,NM_015235.2-CSTF2T
NR_015370-EPB41L4A-AS1,NM_015235.2-CSTF2T
NR_144445-ERVK3-1,NM_015235.2-CSTF2T
NR_046251-FGD5-AS1,NM_015235.2-CSTF2T
NR_046252-FGD5-AS1,NM_015235.2-CSTF2T
NR_046253-FGD5-AS1,NM_015235.2-CSTF2T
NR_046254-FGD5-AS1,NM_015235.2-CSTF2T
NR_046255-FGD5-AS1,NM_015235.2-CSTF2T
NR_103778-FLG-AS1,NM_015235.2-CSTF2T
NR_103779-FLG-AS1,NM_015235.2-CSTF2T
NR_126463-FOXP1-AS1,NM_015235.2-CSTF2T
NR_024490-GABPB1-AS1,NM_015235.2-CSTF2T
NR_002578-GAS5,NM_015235.2-CSTF2T
NR_152521-GAS5,NM_015235.2-CSTF2T
NR_152522-GAS5,NM_015235.2-CSTF2T
NR_152523-GAS5,NM_015235.2-CSTF2T
NR_152524-GAS5,NM_015235.2-CSTF2T
NR_152525-GAS5,NM_015235.2-CSTF2T
NR_152526-GAS5,NM_015235.2-CSTF2T
NR_152527-GAS5,NM_015235.2-CSTF2T
NR_152528-GAS5,NM_015235.2-CSTF2T
NR_152529-GAS5,NM_015235.2-CSTF2T
NR_152530-GAS5,NM_015235.2-CSTF2T
NR_152531-GAS5,NM_015235.2-CSTF2T
NR_152532-GAS5,NM_015235.2-CSTF2T
NR_152533-GAS5,NM_015235.2-CSTF2T
NR_152534-GAS5,NM_015235.2-CSTF2T
NR_004431-GHRLOS,NM_015235.2-CSTF2T
NR_024144-GHRLOS,NM_015235.2-CSTF2T
NR_024145-GHRLOS,NM_015235.2-CSTF2T
NR_073566-GHRLOS,NM_015235.2-CSTF2T
NR_073567-GHRLOS,NM_015235.2-CSTF2T
NR_073568-GHRLOS,NM_015235.2-CSTF2T
NR_040077-GNG12-AS1,NM_015235.2-CSTF2T
NR_038366-HOTAIRM1,NM_015235.2-CSTF2T
NR_038367-HOTAIRM1,NM_015235.2-CSTF2T
NR_122069-HOXA-AS2,NM_015235.2-CSTF2T
NR_038831-HOXA-AS3,NM_015235.2-CSTF2T
NR_038832-HOXA-AS3,NM_015235.2-CSTF2T
NR_102279-HOXB-AS1,NM_015235.2-CSTF2T
NR_038435-HOXD-AS2,NM_015235.2-CSTF2T
NR_046696-IPO9-AS1,NM_015235.2-CSTF2T
NR_024582-JPX,NM_015235.2-CSTF2T
NR_033947-LIMD1-AS1,NM_015235.2-CSTF2T
NR_038033-LINC00159,NM_015235.2-CSTF2T
NR_145423-LINC00519,NM_015235.2-CSTF2T
NR_038988-LINC00630,NM_015235.2-CSTF2T
NR_146588-LINC00630,NM_015235.2-CSTF2T
NR_146589-LINC00630,NM_015235.2-CSTF2T
NR_146590-LINC00630,NM_015235.2-CSTF2T
NR_146591-LINC00630,NM_015235.2-CSTF2T
NR_146592-LINC00630,NM_015235.2-CSTF2T
NR_146593-LINC00630,NM_015235.2-CSTF2T
NR_038970-LINC00641,NM_015235.2-CSTF2T
NR_038971-LINC00641,NM_015235.2-CSTF2T
NR_027301-LINC00662,NM_015235.2-CSTF2T
NR_038278-LINC00665,NM_015235.2-CSTF2T
NR_038279-LINC00665,NM_015235.2-CSTF2T
NR_027456-LINC00894,NM_015235.2-CSTF2T
NR_038904-LINC00958,NM_015235.2-CSTF2T
NR_038343-MAGI2-AS3,NM_015235.2-CSTF2T
NR_038344-MAGI2-AS3,NM_015235.2-CSTF2T
NR_038345-MAGI2-AS3,NM_015235.2-CSTF2T
NR_038346-MAGI2-AS3,NM_015235.2-CSTF2T
NR_002819-MALAT1,NM_015235.2-CSTF2T
NR_144567-MALAT1,NM_015235.2-CSTF2T
NR_144568-MALAT1,NM_015235.2-CSTF2T
NR_015404-MAPKAPK5-AS1,NM_015235.2-CSTF2T
NR_152605-MAPKAPK5-AS1,NM_015235.2-CSTF2T
NR_152606-MAPKAPK5-AS1,NM_015235.2-CSTF2T
NR_152607-MAPKAPK5-AS1,NM_015235.2-CSTF2T
NR_152608-MAPKAPK5-AS1,NM_015235.2-CSTF2T
NR_002776-MCM3AP-AS1,NM_015235.2-CSTF2T
NR_110565-MCM3AP-AS1,NM_015235.2-CSTF2T
NR_110566-MCM3AP-AS1,NM_015235.2-CSTF2T
NR_110567-MCM3AP-AS1,NM_015235.2-CSTF2T
NR_001458-MIR155HG,NM_015235.2-CSTF2T
NR_027349-MIR17HG,NM_015235.2-CSTF2T
NR_027350-MIR17HG,NM_015235.2-CSTF2T
NR_040073-MIR181A1HG,NM_015235.2-CSTF2T
NR_038975-MIR181A2HG,NM_015235.2-CSTF2T
NR_027054-MIR31HG,NM_015235.2-CSTF2T
NR_152877-MIR31HG,NM_015235.2-CSTF2T
NR_152878-MIR31HG,NM_015235.2-CSTF2T
NR_152879-MIR31HG,NM_015235.2-CSTF2T
NR_046163-MIRLET7DHG,NM_015235.2-CSTF2T
NR_046165-MIRLET7DHG,NM_015235.2-CSTF2T
NR_028272-NEAT1,NM_015235.2-CSTF2T
NR_131012-NEAT1,NM_015235.2-CSTF2T
NR_027131-NKAPP1,NM_015235.2-CSTF2T
NR_021490-NR2F1-AS1,NM_015235.2-CSTF2T
NR_021491-NR2F1-AS1,NM_015235.2-CSTF2T
NR_109818-NR2F1-AS1,NM_015235.2-CSTF2T
NR_109819-NR2F1-AS1,NM_015235.2-CSTF2T
NR_109820-NR2F1-AS1,NM_015235.2-CSTF2T
NR_109821-NR2F1-AS1,NM_015235.2-CSTF2T
NR_109822-NR2F1-AS1,NM_015235.2-CSTF2T
NR_109823-NR2F1-AS1,NM_015235.2-CSTF2T
NR_109824-NR2F1-AS1,NM_015235.2-CSTF2T
NR_109825-NR2F1-AS1,NM_015235.2-CSTF2T
NR_026757-OIP5-AS1,NM_015235.2-CSTF2T
NR_152820-OIP5-AS1,NM_015235.2-CSTF2T
NR_152821-OIP5-AS1,NM_015235.2-CSTF2T
NR_152822-OIP5-AS1,NM_015235.2-CSTF2T
NR_038879-PAXBP1-AS1,NM_015235.2-CSTF2T
NR_038880-PAXBP1-AS1,NM_015235.2-CSTF2T
NR_051984-PRC1-AS1,NM_015235.2-CSTF2T
NR_021487-PSMG3-AS1,NM_015235.2-CSTF2T
NR_027328-PSMG3-AS1,NM_015235.2-CSTF2T
NR_027329-PSMG3-AS1,NM_015235.2-CSTF2T
NR_038281-PTPRG-AS1,NM_015235.2-CSTF2T
NR_038282-PTPRG-AS1,NM_015235.2-CSTF2T
NR_038283-PTPRG-AS1,NM_015235.2-CSTF2T
NR_038991-RBM26-AS1,NM_015235.2-CSTF2T
NR_045630-RGS5,NM_015235.2-CSTF2T
NR_047001-RNF219-AS1,NM_015235.2-CSTF2T
NR_038380-SLC7A11-AS1,NM_015235.2-CSTF2T
NR_046757-SNRK-AS1,NM_015235.2-CSTF2T
NR_040012-SPAG5-AS1,NM_015235.2-CSTF2T
NR_037888-STX18-AS1,NM_015235.2-CSTF2T
NR_102434-YTHDF3,NM_015235.2-CSTF2T
NR_138482-ZNF518A,NM_015235.2-CSTF2T
NR_110527-ZNF718,NM_015235.2-CSTF2T
NR_110528-ZNF718,NM_015235.2-CSTF2T
NR_110529-ZNF718,NM_015235.2-CSTF2T
NR_038420-ZRANB2-AS1,NM_015235.2-CSTF2T
NR_028272-NEAT1,NM_001906.4-CTRB1
NR_131012-NEAT1,NM_001906.4-CTRB1
NR_028272-NEAT1,NM_001907.2-CTRL
NR_131012-NEAT1,NM_001907.2-CTRL
NR_002819-MALAT1,NM_001909.4-CTSD
NR_144567-MALAT1,NM_001909.4-CTSD
NR_144568-MALAT1,NM_001909.4-CTSD
NR_028272-NEAT1,NM_001909.4-CTSD
NR_131012-NEAT1,NM_001909.4-CTSD
NR_002819-MALAT1,NM_000396.3-CTSK
